

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2016-09-19T09:00:54PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|SDSS J135134.32-004821.0|207.89303 |  -0.80584 |G|-80584|-0.268800 | ?  |21.8g|  0.000|1|0|15|1|1|4|0
2|SDSS J205603.46+002940.3|314.01442 |   0.49454 |G|-79985|-0.266800 | ?  |23.1g|  0.000|1|0|15|1|1|4|0
3|SDSS J213305.47+003709.0|323.27279 |   0.61918 |G|-79145|-0.264000 | ?  |22.3g|  0.000|1|0|15|1|1|4|0
4|2SLAQ J110017.09-010502.6|165.07121 |  -1.08406 |G|-75907|-0.253200 | ?  |21.9r|  0.000|1|0|0|0|1|0|0
5|SDSS J004149.20+002113.2| 10.45501 |   0.35369 |G|-75038|-0.250300 |:   |22.6g|  0.000|1|0|15|1|1|4|0
6|2SLAQ J010305.25-002729.6| 15.77187 |  -0.45822 |G|-74349|-0.248000 | ?  |21.2r|  0.000|1|0|0|0|1|0|0
7|SDSS J005929.64+003512.6| 14.87353 |   0.58685 |G|-70181|-0.234100 | ?  |22.6g|  0.000|1|0|15|1|1|4|0
8|SDSS J003534.77-002714.6|  8.89491 |  -0.45407 |G|-69642|-0.232300 |:   |23.2g|  0.000|1|0|15|1|1|4|0
9|SDSS J101500.92+004003.5|153.75387 |   0.66765 |G|-68892|-0.229800 | ?  |22.0g|  0.000|1|0|15|1|1|4|0
10|SDSS J231049.04-004418.2|347.70434 |  -0.73841 |G|-66044|-0.220300 | ?  |21.8g|  0.000|1|0|15|1|1|4|0
11|SDSS J104153.93+004803.2|160.47473 |   0.80091 |G|-61278|-0.204400 | ?  |22.0g|  0.000|1|0|15|1|1|4|0
12|2SLAQ J212000.61-001313.4|320.00254 |  -0.22039 |G|-60228|-0.200900 | ?  |21.3r|  0.000|1|0|0|0|1|0|7
13|SDSS J230353.51+004144.0|345.97296 |   0.69557 |G|-58969|-0.196700 | ?  |20.9g|  0.000|1|0|15|1|1|4|0
14|SDSS J232551.82-010535.9|351.46595 |  -1.09331 |G|-56781|-0.189400 |:   |22.3g|  0.000|1|0|15|1|1|4|0
15|2SLAQ J140425.99-004907.8|211.10829 |  -0.81881 |G|-56211|-0.187500 | ?  |21.6r|  0.000|1|0|0|0|1|0|0
16|2SLAQ J130817.85-000415.8|197.07438 |  -0.07106 |G|-56061|-0.187000 | ?  |21.3r|  0.000|1|0|0|0|1|0|0
17|SDSS J213042.41+003643.8|322.67672 |   0.61218 |G|-53423|-0.178200 | ?  |22.1g|  0.000|1|0|15|1|1|4|0
