name,ra,dec
UGC00064,1.9334166666666668,40.87544444444445
2MASXJ00450137+55211,11.255708333333333,55.35513888888889
MCPSJ00.921649-72.64,13.824708333333334,-72.64727777777777
SDSSJ025221.23-08140,43.0885,-8.235916666666666
SDSSJ025229.73-08041,43.123916666666666,-8.07163888888889
SDSSJ025546.53-06541,43.94391666666667,-6.90325
SDSSJ025822.54-06553,44.593916666666665,-6.926694444444444
SDSSJ025858.60-07364,44.74416666666667,-7.6120833333333335
SDSSJ030631.46-08104,46.631125,-8.178138888888888
[HB89]0312-770:[PWC2,47.64208333333334,-76.97305555555556
MRSS031-081375,48.02345833333333,-76.74294444444445
MRSS031-081299,48.02795833333334,-76.80575
MRSS031-079882,48.230333333333334,-77.01577777777777
MRSS031-078916,48.383291666666665,-76.93172222222222
SDSSJ031924.06-06483,49.85025,-6.8101111111111114
SDSSJ031945.80-07243,49.94083333333334,-7.410861111111111
SDSSJ032346.21-07274,50.94254166666666,-7.461861111111111
SDSSJ032614.19-08081,51.559125,-8.136277777777778
WIGS03J032615236-075,51.56345833333333,-7.9896666666666665
WIGS03J032616330-080,51.568041666666666,-8.087083333333334
SDSSJ032622.64-07545,51.59433333333334,-7.915472222222222
SDSSJ032624.73-07533,51.60308333333333,-7.892555555555555
SDSSJ032630.20-07594,51.62583333333333,-7.995666666666667
SDSSJ032633.03-08085,51.637625,-8.147805555555555
WIGS03J032637948-080,51.658125000000005,-8.016666666666667
SDSSJ032641.33-08013,51.67225,-8.025638888888889
COMBO-1744043,52.896125,-27.715666666666667
COMBO-1731379,52.93620833333334,-27.81486111111111
COMBO-1747636,52.963375,-27.687555555555555
COMBO-1747354,52.988416666666666,-27.690666666666665
COMBO-1746835,52.99125,-27.69538888888889
COMBO-1739908,52.999916666666664,-27.746583333333334
COMBO-1722532,53.005208333333336,-27.88786111111111
EISJ033204.76-274715,53.01975,-27.78763888888889
COMBO-1718402,53.025875,-27.92113888888889
COMBO-1713995,53.038916666666665,-27.959416666666666
COMBO-1720529,53.051375,-27.904416666666666
COMBO-1751691,53.05566666666667,-27.662305555555555
COMBO-1717239,53.06125,-27.931
COMBO-1728508,53.068666666666665,-27.838833333333334
COMBO-1730643,53.07029166666666,-27.821277777777777
COMBO-1742899,53.0865,-27.724194444444443
COMBO-1738224,53.088625,-27.76113888888889
COMBO-1746921,53.09658333333333,-27.69413888888889
COMBO-1730192,53.10483333333333,-27.82588888888889
COMBO-1739475,53.107416666666666,-27.750444444444444
COMBO-1713612,53.116458333333334,-27.961583333333333
EISJ033229.66-275343,53.1235,-27.89527777777778
COMBO-1746938,53.127,-27.695166666666665
COMBO-1754703,53.12733333333333,-27.633805555555554
COMBO-1754362,53.13029166666667,-27.636027777777777
COMBO-1749358,53.13033333333333,-27.67563888888889
COMBO-1719904,53.136541666666666,-27.910555555555554
COMBO-1739233,53.15025,-27.752222222222223
COMBO-1750676,53.15029166666667,-27.66811111111111
EISJ033236.57-274349,53.15233333333333,-27.730444444444444
COMBO-1749847,53.157041666666665,-27.67486111111111
COMBO-1750595,53.158458333333336,-27.665861111111113
COMBO-1752214,53.163625,-27.65286111111111
COMBO-1751921,53.174958333333336,-27.655722222222224
EISJ033242.62-275454,53.1775,-27.914944444444444
COMBO-1745289,53.17875,-27.7065
COMBO-1727533,53.18570833333333,-27.850277777777777
COMBO-1750048,53.196999999999996,-27.669666666666668
COMBO-1758812,53.20233333333333,-27.600555555555555
COMBO-1734469,53.210125,-27.809194444444444
COMBO-1730703,53.21970833333334,-27.821277777777777
COMBO-1727206,53.22029166666667,-27.849666666666668
COMBO-1722984,53.220333333333336,-27.88522222222222
COMBO-1735104,53.22258333333333,-27.78902777777778
COMBO-1745433,53.225291666666664,-27.704944444444443
COMBO-1727876,53.23125,-27.85175
COMBO-1732531,53.23304166666667,-27.807083333333335
COMBO-1743732,53.25908333333333,-27.71902777777778
COMBO-1727137,53.274458333333335,-27.85033333333333
COMBO-1746285,53.278875,-27.69936111111111
COMBO-1728312,53.28179166666667,-27.841583333333332
COMBO-1732401,53.29895833333333,-27.81363888888889
COMBO-1726947,53.299749999999996,-27.856361111111113
COMBO-1730614,53.30004166666667,-27.823055555555555
COMBO-1728716,53.325125,-27.837777777777777
COMBO-1732183,53.329875,-27.81538888888889
COMBO-1725121,53.33054166666667,-27.866527777777776
COMBO-1728414,53.33654166666667,-27.840972222222224
COMBO-1723343,53.353791666666666,-27.883305555555555
2MASXJ04000932+37261,60.038875,37.43644444444445
APMUKS(BJ)B045339.97,73.913,-28.303194444444443
6dFJ0517010-264255,79.25425000000001,-26.715333333333334
ALFAZOAJ0552+2255,88.19583333333333,22.92972222222222
SDSSJ074249.36+21214,115.70570833333333,21.36111111111111
SDSSJ081935.96+40301,124.89983333333333,40.50325
SDSSJ082847.07+59010,127.19620833333335,59.01833333333333
SDSSJ083102.77+57462,127.76154166666667,57.77375
SDSSJ085349.34+58563,133.45558333333332,58.94425
SDSSJ090735.99+05263,136.89995833333333,5.443555555555555
SDSSJ091338.99+19370,138.41245833333335,19.61872222222222
SDSSJ093129.67+66163,142.87362499999998,66.27561111111112
SDSSJ095342.60+69132,148.42754166666668,69.22336111111112
