#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-10-14T19:43:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ543d562336ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=VII/155/rc3
#-nav=cat:VII/155&tab:{VII/155/rc3}&key:source=VII/155&HTTPPRM:&&-ref=VIZ543d562336ef&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RA2000&-out=DE2000&-out=name&-out=altname&-out=PGC&-out=type&-out=T&-out=lumcl&-out=D25&-out=R25&-out=PA&-out=BT&-out=BT_code&-out=BoT&-out=V21&-out=cz&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/155/rc3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/155/rc3
#-order=I
#-out=RA2000
#-out=DE2000
#-out=name
#-out=altname
#-out=PGC
#-out=type
#-out=T
#-out=lumcl
#-out=D25
#-out=R25
#-out=PA
#-out=BT
#-out=BT_code
#-out=BoT
#-out=V21
#-out=cz
#

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	type	(a7)	Type	[ucd=src.morph.type]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	lumcl	(F4.1)	? Luminosity class (file "\begin{tex}\vFile{VII/155/./mtypes.tex}{mtypes.tex}\end{tex}")	[ucd=src.class.luminosity]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	BT_code	(A1)	? BT code	[ucd=meta.code]
#Column	BoT	(F5.2)	? BoT	[ucd=phot.mag;em.opt.B]
#Column	V21	(I5)	? V21 (heliocentric radial velocity) [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	cz	(I5)	? Vopt= cz [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#RA2000;DE2000;name;altname;PGC;type;T;lumcl;D25;R25;PA;BT;BT_code;BoT;V21;cz
#"h:m:s";"d:m:s"; ; ; ; ; ; ;[0.1arcmin]; ;deg;mag; ;mag;km/s;km/s
#----------;---------;------------;---------------;-----------;-------;----;----;-----;-----;---;-----;-;-----;-----;-----
00 00 01.8;+47 16 28;A   2357+47 ; UGC 12889     ;PGC    2   ;.SBT3..; 3.0;    ; 1.33; 0.07;165;     ; ;12.74; 5017;
00 00 08.7;-06 22 29;            ; MCG -1- 1- 16 ;PGC   12   ;.S..1P?; 1.0; 7.0; 1.18; 0.74;   ;     ; ;     ;     ; 6493
00 00 21.3;-02 36 38;            ; MCG -1- 1- 20 ;PGC   23   ;.E+..*.;-4.0;    ; 1.15; 0.25;   ;     ; ;     ;     ;
00 00 22.5;-80 47 30;            ; ESO   12- 12  ;PGC   30   ;PSXT4P.; 4.0; 2.2; 1.19; 0.07;   ;     ; ;13.40;     ; 7900
00 00 24.0;+39 30 00;            ; UGC 12894     ;PGC   35   ;.I..9..;10.0;    ; 0.96; 0.00;   ;     ; ;     ;  329;
00 00 24.0;+17 13 00;            ; UGC 12893     ;PGC   38   ;.SA.8..; 8.0;    ; 1.23; 0.01;   ;     ; ;14.52; 1108;
00 00 24.0;+07 50 00;            ; UGC 12892     ;PGC   39   ;.SB.2..; 2.0;    ; 0.91; 0.24;   ;     ; ;     ;     ;
00 00 29.0;-40 29 00;            ; ESO  293- 27  ;PGC   43   ;.SBR4*.; 4.0; 5.2; 1.28; 0.55;153;     ; ;13.50;     ; 3164
00 00 38.0;+20 03 33;            ; UGC 12895     ;PGC   53   ;.S..7..; 7.0;    ; 0.90; 0.09;100;     ; ;     ; 6752;
00 00 38.3;+28 23 06;            ; UGC 12897     ;PGC   54   ;.S..2..; 2.0;    ; 1.06; 0.48; 11;14.84;S;14.02; 8705; 8705
00 00 36.0;+33 36 00;            ; UGC 12898     ;PGC   55   ;.S..6*.; 6.0;    ; 0.96; 0.39; 10;     ; ;     ; 4778;
00 00 44.3;+28 24 05;            ; MCG  5- 1- 21 ;PGC   58   ;.S?....;    ;    ; 0.89; 0.24;   ;15.71;S;14.94;     ; 8216
00 00 46.8;+28 24 10;            ; UGC 12899     ;PGC   63   ;.L?....;    ;    ; 0.98; 0.01;   ;14.68;S;14.16;     ; 8870
00 00 52.9;-47 21 18;            ; ESO  193-  9  ;PGC   65   ;RLBR+*/;-0.9;    ; 1.07; 0.55;156;     ; ;15.00;     ; 5912
00 00 55.9;-40 42 42;            ; ESO  293- 29  ;PGC   69   ;.SBT5*.; 5.4; 2.2; 1.02; 0.26; 17;     ; ;14.40;     ;14710
00 00 54.0;+20 20 00;            ; UGC 12900     ;PGC   70   ;.S..6*.; 6.0;    ; 1.26; 1.09;111;     ; ;13.73; 6803;
00 00 57.9;-33 36 42;            ; ESO  349- 17  ;PGC   73   ;.S?....;    ;    ; 1.08; 0.10;120;     ; ;14.17;     ; 6916
00 01 02.9;-43 19 48;            ; ESO  241- 10  ;PGC   75   ;.E+2...;-4.0;    ; 1.16; 0.10;172;     ; ;     ;     ;
00 01 02.9;+28 54 42;            ; UGC 12901     ;PGC   76   ;.SB.3..; 3.0;    ; 1.18; 0.42; 48;     ; ;13.74; 6899;
00 01 00.0;+04 27 00;IC   5374   ; MCG  1- 1- 10 ;PGC   79   ;.S?....;    ;    ; 0.82; 0.08;178;     ; ;14.85;     ; 8932
00 01 00.0;+04 30 00;IC   5375   ; MCG  1- 1-  9 ;PGC   80   ;.S?....;    ;    ; 0.99; 0.62;   ;     ; ;14.22;     ; 9073
