oldName,freqTargeted,diameters,dRatio,pa,completeList
PGC047728,"K_s (2MASS ""total"")","(147.30000000000001, 64.810000000000002)",0.44,30,"[['K_s (2MASS isophotal)', (96.0, 42.240000000000002), 0.44, 30], ['K_s (2MASS ""total"")', (147.30000000000001, 64.810000000000002), 0.44, 30], ['ESO-Uppsala ""Quick Blue"" IIa-O', (132.0, 72.0), 0.55000000000000004, 37], ['RC3 D_25, R_25 (blue)', (106.7, 64.340000000000003), 0.59999999999999998, 37], ['RC3 D_0 (blue)', (131.30000000000001, None), None, None]]"
PGC044681,RC3 D_0 (blue),"(99.599999999999994, None)",x,x,"[['RC3 D_25, R_25 (blue)', (97.299999999999997, 54.68), 0.56000000000000005, None], ['RC3 D_0 (blue)', (99.599999999999994, None), None, None]]"
SDSSJ080158.89+212219.1,r (SDSS Isophotal),"(24.48, 14.460000000000001)",0.58999999999999997,105,"[['r (SDSS Isophotal)', (24.48, 14.460000000000001), 0.58999999999999997, 105], ['r (SDSS Petrosian)', (9.8100000000000005, None), None, None], ['r (SDSS de Vaucouleurs)', (23.5, 10.32), 0.44, 98], ['r (SDSS Exponential)', (6.7999999999999998, 3.1400000000000001), 0.46000000000000002, 98]]"
GALEXASCJ012452.49-765405.9,x,"('x', 'x')",x,x,['x']
2MASXiJ0936057-204656,x,"('x', 'x')",x,x,['x']
2MASXiJ1046038-094841,x,"('x', 'x')",x,x,['x']
COSMOS1362316,x,"('x', 'x')",x,x,['x']
PGC067408,"K_s (2MASS ""total"")","(35.899999999999999, 14.93)",0.41999999999999998,45,"[['K_s (2MASS isophotal)', (30.0, 12.48), 0.41999999999999998, 45], ['K_s (2MASS ""total"")', (35.899999999999999, 14.93), 0.41999999999999998, 45], ['ESO-Uppsala ""Quick Blue"" IIa-O', (66.0, 36.0), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (60.950000000000003, 111.83), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (81.280000000000001, 149.13999999999999), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (103.51000000000001, 189.93000000000001), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (45.710000000000001, 83.870000000000005), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (56.890000000000001, 104.39), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (77.620000000000005, 142.41999999999999), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (31.620000000000001, 58.020000000000003), 0.55000000000000004, 45], ['ESO-LV ""Quick Blue"" IIa-O', (22.649999999999999, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.9100000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.7599999999999998, 13.77), 0.70999999999999996, 44], ['ESO-LV IIIa-F', (8.7200000000000006, None), None, None]]"
LEDA087291,x,"('x', 'x')",x,x,['x']
SDSSJ115621.32+312536.9,r (SDSS Isophotal),"(52.350000000000001, 19.280000000000001)",0.37,15,"[['r (SDSS Isophotal)', (52.350000000000001, 19.280000000000001), 0.37, 15], ['r (SDSS Petrosian)', (12.460000000000001, None), None, None], ['r (SDSS de Vaucouleurs)', (23.5, 12.08), 0.51000000000000001, 26], ['r (SDSS Exponential)', (7.5099999999999998, 4.0199999999999996), 0.54000000000000004, 26]]"
