preferredName,NEDname,z,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,helioVelocity (km/s),vcorr (km/s),distvcorr (Mpc),zIndependentDist_mean_median_std_min_max (Mpc),bestDistance (Mpc),distErr (Mpc),angDiameters (arcsec),angDiameters_err (arcsec),linDiameters (kpc),linDiameters_err (kpc),inc (deg),adjustedInc (deg),incErr (deg),PA (deg),diameterKey,RC3_type,RC3_d25 (arcsec),RC3_r25,RC3_pa (deg),group_dist_std (Mpc),groupInfo,morphology,distanceIndicator,luminosityClass,E(B-V),B_median,B_median_key,B_max,B_max_key,B_min,B_min_key,B_sdss,g_sdss,r_sdss,z_sdss,Lstar_median,Lstar_median_err,Lstar_max,Lstar_max_err,Lstar_min,Lstar_min_err,Lstar_sdss,Lstar_sdss_err,altNames
PGC047728,PGC047728,0.00461,"(203.332, -53.35469)","((13, 33, 19.68), (-53, 21, 16.884))","(309.23806200000001, 9.0034379999999992)",1382,1495.41,21.06215678,"[3.6, 3.6, 0.74, 3.6, 3.6]",3.6,0.74,"(147.3, 64.81)","(7.4, 3.2)","(2.571, 1.131)","(0.53, 0.23)",64.0,66.0,2.0,30,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",.LXS0P*,106.6967646,0.602559586,37,[],[],SAB(s)0^0^ pec:,TF,x,0.2578,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['ESO174-G001', 'ESO133011-5305.9', 'WKK2332', '2MASXJ13331968-5321170', 'IRAS13301-5305', 'SGC133011-5305.9', '2MIG1869', 'PGC047728', 'PGC047728']"
PGC044681,PGC044681,0.002753,"(194.98458, -19.41306)","((12, 59, 56.2992), (-19, 24, 47.016))","(305.69147299999997, 43.413169000000003)",825,1075.62,15.14969732,"[6.895, 6.89, 0.005, 6.89, 6.9]",6.89,0.00,"(102.3, 57.28)","(1.4, 1.6)","(3.416, 1.913)","(0.051, 0.056)",56.0,58.0,1.0,x,"['RC3 D_0 (blue)', 'RC3 D_25, R_25 (blue)', None]",.IA.9*.,97.30860584,0.562341325,x,[],[],IAm:,TF,LC V-VI,0.0832,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['KK176', 'GALEXASCJ125956.60-192445.7', 'SGC1257.3-1909', 'HIPASSJ1259-19', 'PGC044681', 'SIGRID56', '[KK98]176', '[KK98]125717.1-190826', 'PGC044681']"
SDSSJ080158.89+212219.1,SDSSJ080158.89+212219.1,0.004797,"(120.49542, 21.372)","((8, 1, 58.9008), (21, 22, 19.2))","(200.49747300000001, 24.662186999999999)",1438,1571.96,22.14035705,"['x', 'x', 'x', 'x', 'x']",22.14,2.21,"(26.14, 11.5)","(0.3, 0.7)","(2.806, 1.235)","(0.32, 0.21)",64.0,66.0,2.0,105,"['r (SDSS Isophotal)', 'r (SDSS de Vaucouleurs)', 'r (SDSS Isophotal)']",x,x,x,x,[],[],x,x,x,0.0433,x,x,x,x,x,x,17.8,17.487,17.104,16.874,x,x,x,x,x,x,0.00606,0.00279,"['SDSSJ080158.89+212219.1', 'SDSSJ080158.90+212219.1', 'SDSSJ080158.90+212219.2', 'GALEXASCJ080158.75+212219.5', 'GALEXMSCJ080158.72+212219.6', 'ASK363290.0', 'NSA064293', 'KIG0221:[VOV2007]018', 'SDSSJ080158.89+212219.1']"
GALEXASCJ012452.49-765405.9,GALEXASCJ012452.49-765405.9,0.005658,"(21.22167, -76.90167)","((01, 24, 53.20), (-76, 54, 06.0))","(300.46367, -40.06579)",1696,1566.43,22.06243126,"['x', 'x', 'x', 'x', 'x']",22.06,2.20,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0415,16.5,B_J,16.5,B_J,16.5,B_J,x,x,x,x,0.0214,0.00986,0.0214,0.00986,0.0214,0.00986,x,x,"['IRASF01244-7708', 'HIPASSJ0124-76', 'IRASF01244-7708ID', 'GALEXASCJ012452.49-765405.9']"
2MASXiJ0936057-204656,2MASXiJ0936057-204656,0.007589,"(144.02283, -20.78156)","((09, 36, 05.480), (-20, 46, 53.60))","(253.206617, 22.699655)",2275,2451.88,34.53354674,"['x', 'x', 'x', 'x', 'x']",34.53,3.45,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0502,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXiJ0936057-204656', 'GALEXASCJ093605.53-204651.3', '6dFJ0936055-204654', 'LEDA837047 ']"
2MASXiJ1046038-094841,2MASXiJ1046038-094841,0.007909,"(161.51704, -9.81217)","((10, 46, 04.09),  (-09, 48, 43.8))","(259.182392, 42.166582)",2371,2620.10,36.90291456,"['x', 'x', 'x', 'x', 'x']",36.90,3.69,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0289,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXiJ1046038-094841', 'GALEXASCJ104604.11-094843.7', '6dFJ1046040-094844', '6dFJ1046041-094844']"
COSMOS1362316,COSMOS1362316,0.01,"(149.72348, 2.08661)","((9, 58, 53.6352), (2, 5, 11.796))","(236.64480399999999, 41.730359999999997)",2998,3233.61,45.54392602,"['x', 'x', 'x', 'x', 'x']",45.54,4.55,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0169,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['COSMOS1362316', 'ACS-GC20073435', 'COSMOS1362316']"
PGC067408,PGC067408,0.010012,"(327.25408, -59.97858)","((21, 49, 0.9792), (-59, 58, 42.888))","(333.26487600000002, -44.936691000000003)",3002,2831.03,39.87366633,"['x', 'x', 'x', 'x', 'x']",39.87,3.98,"(35.9, 19.75)","(1.8, 0.99)","(6.94, 3.817)","(0.69, 0.38)",57.0,58.0,3.0,45,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],S...,x,x,0.0308,15.2,b_J,14.9,B_J,15.3,B (Cousins) (B_25),x,x,x,x,0.223,0.105,0.28,0.129,0.189,0.0883,x,x,"['ESO145-GA015', 'ESO214524-6012.7', '2MASXJ21490097-5958423', 'ESO-LV1452150', '6dFJ2149008-595845', 'APMBGC145-087+007', 'APMUKS(BJ)B214523.55-601244.2', 'HIPASSJ2148-59', 'MRSS145-044674', 'PGC067408', 'PGC067408']"
LEDA087291,LEDA087291,0.011308,"(41.32042, 9.55111)","((2, 45, 16.9008), (9, 33, 3.996))","(163.80782500000001, -44.100527999999997)",3390,3163.62,44.55805026,"['x', 'x', 'x', 'x', 'x']",44.55,4.45,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],Sm/Im,x,x,0.1782,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['LSBCF687-V2', 'LEDA087291', 'LEDA087291']"
SDSSJ115621.32+312536.9,SDSSJ115621.32+312536.9,0.011338,"(179.08888, 31.42694)","((11, 56, 21.3312), (31, 25, 36.984))","(189.95081300000001, 77.254137)",3399,3681.26,51.84874995,"['x', 'x', 'x', 'x', 'x']",51.84,5.18,"(54.94, 28.02)","(0.45, 0.73)","(13.81, 7.043)","(1.5, 0.91)",59.0,61.0,0.9,15,"['r (SDSS Isophotal)', 'r (SDSS de Vaucouleurs)', 'r (SDSS Isophotal)']",x,x,x,x,[],[],x,x,x,0.0167,x,x,x,x,x,x,16.6,16.281,15.857,15.728,x,x,x,x,x,x,0.0924,0.0426,"['SDSSJ115621.32+312536.9', 'SDSSJ115621.33+312537.0', 'ASK503738.0', 'MAPS-NGPO_320_0081629', 'NSA087562', '[TTL2012]487024', 'SDSSJ115621.32+312536.9']"
