preferredName,vcorr (km/s),bestDistance (Mpc),distErr (Mpc),angDiameters (arcsec),angDiameter errors (arcsec),linDiameters (kpc),linDiameter errors (kpc),inc (deg),adjustedInc (deg),incErr (deg),PA (deg),diameterKeys
PGC047728,1495.41,3.6,0.74,"(147.3, 64.81)","(7.4, 3.2)","(2.571, 1.131)","(0.53, 0.23)",64.0,66.0,2.0,30,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
PGC044681,1075.62,6.89,0.00,"(102.3, 57.28)","(1.4, 1.6)","(3.416, 1.913)","(0.051, 0.056)",56.0,58.0,1.0,x,"['RC3 D_0 (blue)', 'RC3 D_25, R_25 (blue)', None]"
SDSSJ080158.89+212219.1,1571.96,22.14,2.21,"(26.14, 11.5)","(0.3, 0.7)","(2.806, 1.235)","(0.32, 0.21)",64.0,66.0,2.0,105,"['r (SDSS Isophotal)', 'r (SDSS de Vaucouleurs)', 'r (SDSS Isophotal)']"
GALEXASCJ012452.49-765405.9,1566.43,22.06,2.20,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
2MASXiJ0936057-204656,2451.88,34.53,3.45,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
2MASXiJ1046038-094841,2620.10,36.90,3.69,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
COSMOS1362316,3233.61,45.54,4.55,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
PGC067408,2831.03,39.87,3.98,"(35.9, 19.75)","(1.8, 0.99)","(6.94, 3.817)","(0.69, 0.38)",57.0,58.0,3.0,45,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']"
LEDA087291,3163.62,44.55,4.45,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
SDSSJ115621.32+312536.9,3681.26,51.84,5.18,"(54.94, 28.02)","(0.45, 0.73)","(13.81, 7.043)","(1.5, 0.91)",59.0,61.0,0.9,15,"['r (SDSS Isophotal)', 'r (SDSS de Vaucouleurs)', 'r (SDSS Isophotal)']"
SDSSJ105653.41+653956.0,3571.44,50.30,5.03,"(19.34, 8.51)","(0.27, 0.69)","(4.717, 2.075)","(0.54, 0.39)",64.0,66.0,2.0,78,"['r (SDSS Isophotal)', 'r (SDSS deVaucouleurs)', 'r (SDSS deVaucouleurs)']"
MCG-03-02-013,3099.12,43.64,4.36,"(95.81, 12.45)","(1.0, 16.0)","(20.27, 2.636)","(2.3, 3.9)",83.0,90.0,10.0,81,"['POSS1 103a-O', 'POSS1 103a-O', 'RC3 D_25, R_25 (blue)']"
HIPASSJ1228-38b,3586.77,50.51,5.05,"(27.3, 16.93)","(1.4, 0.85)","(6.686, 4.145)","(0.67, 0.41)",52.0,53.0,3.0,55,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
PGC001452,3156.25,44.45,4.44,"(76.9, 65.37)","(3.8, 3.3)","(16.57, 14.09)","(1.7, 1.4)",32.0,33.0,7.0,50,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']"
IRAS20168-0528,3256.66,45.86,4.58,"(86.5, 41.52)","(4.3, 2.1)","(19.24, 9.233)","(1.9, 0.92)",61.0,64.0,2.0,105,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
RR242:[GTR2007]23187,3559.23,50.13,5.01,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
GALEXASCJ222437.85-273358.0,3145.88,44.30,4.43,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
SDSSJ150804.21+551954.0,3582.19,50.45,5.04,"(25.64, 22.05)","(0.3, 0.4)","(6.273, 5.395)","(0.71, 0.65)",31.0,31.0,2.0,172,"['r (SDSS Isophotal)', 'r (SDSS de Vaucouleurs)', 'r (SDSS Isophotal)']"
PGC031645,3598.45,50.68,5.06,"(82.84, 8.284)","(3.1, 10.0)","(20.36, 2.036)","(2.9, 3.0)",84.0,90.0,7.0,42,"['ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O']"
MCG-04-30-013,3639.16,51.25,5.12,"(55.3, 26.54)","(2.8, 1.3)","(13.74, 6.596)","(1.4, 0.66)",61.0,64.0,2.0,15,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
