preferredName,oldName,redshift,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,rIndependentDistMean_sd_min_max (Mpc),morphology,distanceIndicator,luminosityClass,EBminusV,radialVelocity (km/s),vcorr (km/s),angDiameters (arcsec),linDiameters (kpc),distvcorr (Mpc),inclination (deg),alternativeNames,galaxyName,B,u,g,r,i,z,J,H,K,all,oldName,freqTargeted,diameters,dRatio,pa,completeList
[OCN2009]J200943.15-565025.0,[OCN2009]J200943.15-565025.0,x,"(302.42979, -56.84028)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],[OCN2009]J200943.15-565025.0,[],[],[],[],[],[],[],[],[],['x'],[OCN2009]J200943.15-565025.0,x,"('x', 'x')",x,x,['x']
[OCN2009]J201145.60-563904.1,[OCN2009]J201145.60-563904.1,x,"(302.94, -56.65114)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],[OCN2009]J201145.60-563904.1,[],[],[],[],[],[],[],[],[],['x'],[OCN2009]J201145.60-563904.1,x,"('x', 'x')",x,x,['x']
[OCN2009]J201140.87-565632.3,[OCN2009]J201140.87-565632.3,x,"(302.92029, -56.94233)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],[OCN2009]J201140.87-565632.3,[],[],[],[],[],[],[],[],[],['x'],[OCN2009]J201140.87-565632.3,x,"('x', 'x')",x,x,['x']
[OCN2009]J201335.89-564755.5,[OCN2009]J201335.89-564755.5,x,"(303.39958, -56.79875)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],[OCN2009]J201335.89-564755.5,[],[],[],[],[],[],[],[],[],['x'],[OCN2009]J201335.89-564755.5,x,"('x', 'x')",x,x,['x']
[OCN2009]J200942.40-571006.8,[OCN2009]J200942.40-571006.8,x,"(302.42667, -57.16856)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],[OCN2009]J200942.40-571006.8,[],[],[],[],[],[],[],[],[],['x'],[OCN2009]J200942.40-571006.8,x,"('x', 'x')",x,x,['x']
[OCN2009]J201008.46-570514.7,[OCN2009]J201008.46-570514.7,x,"(302.53525, -57.08744)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],[OCN2009]J201008.46-570514.7,[],[],[],[],[],[],[],[],[],['x'],[OCN2009]J201008.46-570514.7,x,"('x', 'x')",x,x,['x']
NGC2903-HI-1,NGC2903-HI-1,x,"(142.66625, 21.72361)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],NGC2903-HI-1,[],[],[],[],[],[],[],[],[],['x'],NGC2903-HI-1,x,"('x', 'x')",x,x,['x']
ESO174-G?001,ESO174-G?001,x,"(206.99208, -53.34747)","('x', 'x')","('x', 'x')","('3.600', 'N/A', '3.600', '3.600')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],ESO174-G?001,[],[],[],[],[],[],"[('J_K20 (2MASS)', 10.749000000000001, '+/-0.032', 'mag', 240000000000000.0, 0.079899999999999999, '+/-2.39E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux integrated from map', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('J_total (2MASS)', 10.523999999999999, '+/-0.030', 'mag', 240000000000000.0, 0.098299999999999998, '+/-2.75E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('J_14arcsec (2MASS)', 12.058999999999999, '+/-0.011', 'mag', 240000000000000.0, 0.023900000000000001, '+/-2.43E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]","[('H_K20 (2MASS)', 10.003, '+/-0.033', 'mag', 182000000000000.0, 0.10199999999999999, '+/-3.15E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux integrated from map', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('H_total (2MASS)', 9.7409999999999997, '+/-0.030', 'mag', 182000000000000.0, 0.13, '+/-3.64E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('H_14arcsec (2MASS)', 11.269, '+/-0.011', 'mag', 182000000000000.0, 0.031800000000000002, '+/-3.24E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]","[('K_s_14arcsec (2MASS)', 10.992000000000001, '+/-0.017', 'mag', 138000000000000.0, 0.026700000000000002, '+/-4.22E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]","[('J_K20 (2MASS)', 10.749000000000001, '+/-0.032', 'mag', 240000000000000.0, 0.079899999999999999, '+/-2.39E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux integrated from map', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('J_total (2MASS)', 10.523999999999999, '+/-0.030', 'mag', 240000000000000.0, 0.098299999999999998, '+/-2.75E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('J_14arcsec (2MASS)', 12.058999999999999, '+/-0.011', 'mag', 240000000000000.0, 0.023900000000000001, '+/-2.43E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data'), ('H_K20 (2MASS)', 10.003, '+/-0.033', 'mag', 182000000000000.0, 0.10199999999999999, '+/-3.15E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux integrated from map', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('H_total (2MASS)', 9.7409999999999997, '+/-0.030', 'mag', 182000000000000.0, 0.13, '+/-3.64E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('H_14arcsec (2MASS)', 11.269, '+/-0.011', 'mag', 182000000000000.0, 0.031800000000000002, '+/-3.24E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data'), ('K_s', 9.8010000000000002, '+/-0.058', 'mag', 138000000000000.0, 0.080100000000000005, '+/-4.39E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      cm', 'Broad-band measurement', 'Flux in fixed aperture', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('K_s', 9.593, '+/-0.053', 'mag', 138000000000000.0, 0.097000000000000003, '+/-4.85E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      cm', 'Broad-band measurement', 'Flux in fixed aperture', '', 'From new raw data'), ('K_s_14arcsec (2MASS)', 10.992000000000001, '+/-0.017', 'mag', 138000000000000.0, 0.026700000000000002, '+/-4.22E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]",ESO174-G?001,"K_s (2MASS ""total"")","(147.3, 64.81)",0.44,30.0,"[['K_s (2MASS isophotal)', (96.0, 42.24), 0.44, 30.0], ['K_s (2MASS ""total"")', (147.3, 64.81), 0.44, 30.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (132.0, 72.0), 0.55, 37.0], ['RC3 D_25, R_25 (blue)', (106.7, 64.34), 0.6, 37.0], ['RC3 D_0 (blue)', (131.3, None), None, None]]"
KK176,KK176,x,"(194.98458, -19.41306)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],KK176,[],[],[],[],[],[],[],[],[],['x'],KK176,x,"('x', 'x')",x,x,['x']
2MASXJ18363718-3218138,2MASXJ18363718-3218138,x,"(279.15488, -32.30381)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],2MASXJ18363718-3218138,[],[],[],[],[],[],"[('J_K20 (2MASS)', 13.301, '+/-0.180', 'mag', 240000000000000.0, 0.0076099999999999996, '+/-1.37E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux integrated from map', '56.8 x   26.1 arcsec integration area.', 'From new raw data; Corrected for contaminating sources'), ('J_total (2MASS)', 13.112, '+/-0.218', 'mag', 240000000000000.0, 0.0090600000000000003, '+/-2.01E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('J_14arcsec (2MASS)', 14.353999999999999, '+/-0.123', 'mag', 240000000000000.0, 0.0028900000000000002, '+/-3.46E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data; Corrected for contaminating sources')]","[('H_total (2MASS)', 13.798999999999999, '+/-0.000', 'mag', 182000000000000.0, 0.0030999999999999999, '+/-0.00E+00', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('H_14arcsec (2MASS)', 13.801, '+/-0.137', 'mag', 182000000000000.0, 0.0030899999999999999, '+/-4.16E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data; Corrected for contaminating sources')]","[('K_s_14arcsec (2MASS)', 12.691000000000001, '+/-0.067', 'mag', 138000000000000.0, 0.0055900000000000004, '+/-3.56E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data; Corrected for contaminating sources')]","[('J_K20 (2MASS)', 13.301, '+/-0.180', 'mag', 240000000000000.0, 0.0076099999999999996, '+/-1.37E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux integrated from map', '56.8 x   26.1 arcsec integration area.', 'From new raw data; Corrected for contaminating sources'), ('J_total (2MASS)', 13.112, '+/-0.218', 'mag', 240000000000000.0, 0.0090600000000000003, '+/-2.01E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('J_14arcsec (2MASS)', 14.353999999999999, '+/-0.123', 'mag', 240000000000000.0, 0.0028900000000000002, '+/-3.46E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data; Corrected for contaminating sources'), ('H_total (2MASS)', 13.798999999999999, '+/-0.000', 'mag', 182000000000000.0, 0.0030999999999999999, '+/-0.00E+00', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Total flux', '', 'From new raw data'), ('H_14arcsec (2MASS)', 13.801, '+/-0.137', 'mag', 182000000000000.0, 0.0030899999999999999, '+/-4.16E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data; Corrected for contaminating sources'), ('K_s', 11.51, '+/-0.116', 'mag', 138000000000000.0, 0.0166, '+/-1.87E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      cm', 'Broad-band measurement', 'Flux in fixed aperture', '56.8 x   26.1 arcsec integration area.', 'From new raw data; Corrected for contaminating sources'), ('K_s', 11.050000000000001, '+/-0.084', 'mag', 138000000000000.0, 0.025399999999999999, '+/-2.04E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      cm', 'Broad-band measurement', 'Flux in fixed aperture', '', 'From new raw data'), ('K_s_14arcsec (2MASS)', 12.691000000000001, '+/-0.067', 'mag', 138000000000000.0, 0.0055900000000000004, '+/-3.56E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data; Corrected for contaminating sources')]",2MASXJ18363718-3218138,"K_s (2MASS ""total"")","(87.1, 40.07)",0.46,40.0,"[['K_s (2MASS isophotal)', (56.8, 26.13), 0.46, 40.0], ['K_s (2MASS ""total"")', (87.1, 40.07), 0.46, 40.0]]"
