preferredName,oldName,redshift,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,rIndependentDistMean_sd_min_max (Mpc),morphology,distanceIndicator,luminosityClass,EBminusV,radialVelocity (km/s),vcorr (km/s),angDiameters (arcsec),linDiameters (kpc),distvcorr (Mpc),inclination (deg),photometry,alternativeNames
PGC047728,PGC047728,0.0046100000000000004,"(203.332, -53.35469)","((13, 33, 19.68), (-53, 21, 16.884))","(309.23806200000001, 9.0034379999999992)","('3.600', 'N/A', '3.600', '3.600')",SAB(s)0^0^ pec:,x,x,x,1382.0,1495.4131311284202,"(108.0, 66.0)","(11.0281205074194, 6.73940659087945)",21.062156776456622,52.330113035670365,['x'],"['ESO174-G001', 'ESO133011-5305.9', 'WKK2332', '2MASXJ13331968-5321170', 'IRAS13301-5305', 'SGC133011-5305.9', '2MIG1869', 'PGC047728', 'PGC047728']"
6dFJ1836372-321814,6dFJ1836372-321814,x,"(279.15488, -32.30381)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
IRASF01244-7708,IRASF01244-7708,x,"(21.22167, -76.90167)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
LEDA837047,LEDA837047,x,"(144.02283, -20.78156)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
6dFJ1046040-094844,6dFJ1046040-094844,x,"(161.51704, -9.81217)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
ACS-GC20067121,ACS-GC20067121,x,"(149.985, 2.07)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
[GGF2013]27345,[GGF2013]27345,x,"(34.46934, -5.27491)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
PGC067408,PGC067408,0.010012,"(327.25408, -59.97858)","((21, 49, 0.9792), (-59, 58, 42.888))","(333.26487600000002, -44.936691000000003)","('x', 'x', 'x', 'x')",S...,x,x,x,3002.0,2831.0303092032905,"(55.800000000000004, 37.2)","(10.78686507793098, 7.1912432878268788)",39.873666326806905,48.189685104221404,['x'],"['ESO145-GA015', 'ESO214524-6012.7', '2MASXJ21490097-5958423', 'ESO-LV1452150', '6dFJ2149008-595845', 'APMBGC145-087+007', 'APMUKS(BJ)B214523.55-601244.2', 'HIPASSJ2148-59', 'MRSS145-044674', 'PGC067408', 'PGC067408']"
SDP02627,SDP02627,x,"(134.83533, 0.86087)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
LEDA088140,LEDA088140,x,"(54.43359, -5.0445)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
