oldName,freqTargeted,diameters,diameterErrs,dRatio,dRatioErr,pa,paErr,completeList
PGC047728,"K_s (2MASS ""total"")","(147.3, 64.81)","('x', 'x')",0.44,x,30.0,x,"[['K_s (2MASS isophotal)', (96.0, 42.24), (None, None), 0.44, None, 30.0, None], ['K_s (2MASS ""total"")', (147.3, 64.81), (None, None), 0.44, None, 30.0, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (132.0, 72.0), (None, None), 0.55, None, 37.0, None], ['RC3 D_25, R_25 (blue)', (106.7, 64.34), (18.7, None), 0.6, 0.09, 37.0, None], ['RC3 D_0 (blue)', (131.3, None), (None, None), None, None, None, None]]"
6dFJ1836372-321814,"K_s (2MASS ""total"")","(87.1, 40.07)","('x', 'x')",0.46,x,40.0,x,"[['K_s (2MASS isophotal)', (56.8, 26.13), (None, None), 0.46, None, 40.0, None], ['K_s (2MASS ""total"")', (87.1, 40.07), (None, None), 0.46, None, 40.0, None]]"
IRASF01244-7708,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
LEDA837047,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
6dFJ1046040-094844,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
ACS-GC20067121,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
[GGF2013]27345,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
PGC067408,"K_s (2MASS ""total"")","(35.9, 14.93)","('x', 'x')",0.42,x,45.0,x,"[['K_s (2MASS isophotal)', (30.0, 12.48), (None, None), 0.42, None, 45.0, None], ['K_s (2MASS ""total"")', (35.9, 14.93), (None, None), 0.42, None, 45.0, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (66.0, 36.0), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (60.95, 111.83), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (81.28, 149.14), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (103.51, 189.93), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (45.71, 83.87), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (56.89, 104.39), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (77.62, 142.42), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (31.62, 58.02), (None, None), 0.55, None, 45.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (22.65, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.91, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.76, 13.77), (None, None), 0.71, None, 44.0, None], ['ESO-LV IIIa-F', (8.72, None), (None, None), None, None, None, None]]"
SDP02627,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
LEDA088140,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
PGC014905,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
SDP06241,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
ISOSSJ00075-7211,"K_s (2MASS ""total"")","(71.9, 14.38)","('x', 'x')",0.2,x,55.0,x,"[['K_s (2MASS isophotal)', (45.0, 9.0), (None, None), 0.2, None, 55.0, None], ['K_s (2MASS ""total"")', (71.9, 14.38), (None, None), 0.2, None, 55.0, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (63.1, 315.5), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (74.13, 370.65), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (82.22, 411.1), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (37.58, 187.9), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (43.15, 215.75), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (53.09, 265.45), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (29.17, 145.85), (None, None), 0.2, None, 54.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (21.38, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (12.99, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.07, 81.15), (None, None), 0.23, None, 65.0, None], ['ESO-LV IIIa-F', (17.06, None), (None, None), None, None, None, None]]"
MCG-06-07-003,"K_s (2MASS ""total"")","(80.3, 53.0)","('x', 'x')",0.66,x,5.0,x,"[['K_s (2MASS isophotal)', (52.2, 34.45), (None, None), 0.66, None, 5.0, None], ['K_s (2MASS ""total"")', (80.3, 53.0), (None, None), 0.66, None, 5.0, None], ['POSS1 103a-E', (60.0, 36.0), (None, None), 0.6, None, None, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 36.0), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (66.83, 111.38), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (74.99, 124.98), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (79.4, 132.33), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (79.43, 132.38), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (40.27, 67.12), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (46.24, 77.07), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (54.95, 91.58), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (30.9, 51.5), (None, None), 0.6, None, 7.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (24.83, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (14.27, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (20.54, 36.55), (None, None), 0.56, None, 8.0, None], ['ESO-LV IIIa-F', (13.87, None), (None, None), None, None, None, None]]"
LEDA4584407,"K_s (2MASS ""total"")","(37.3, 28.35)","('x', 'x')",0.76,x,95.0,x,"[['K_s (2MASS isophotal)', (18.6, 14.14), (None, None), 0.76, None, 95.0, None], ['K_s (2MASS ""total"")', (37.3, 28.35), (None, None), 0.76, None, 95.0, None]]"
LEDA4584409,"K_s (2MASS ""total"")","(33.3, 22.64)","('x', 'x')",0.68,x,40.0,x,"[['K_s (2MASS isophotal)', (17.4, 11.83), (None, None), 0.68, None, 40.0, None], ['K_s (2MASS ""total"")', (33.3, 22.64), (None, None), 0.68, None, 40.0, None]]"
PGC003154,"K_s (2MASS ""total"")","(80.2, 19.25)","('x', 'x')",0.24,x,65.0,x,"[['K_s (2MASS isophotal)', (51.8, 12.43), (None, None), 0.24, None, 65.0, None], ['K_s (2MASS ""total"")', (80.2, 19.25), (None, None), 0.24, None, 65.0, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (66.07, 330.35), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (82.22, 411.1), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (98.86, 494.3), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (39.36, 196.8), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (46.77, 233.85), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (61.66, 308.3), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (29.51, 147.55), (None, None), 0.2, None, 61.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (18.62, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.16, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.78, 110.5), (None, None), 0.18, None, 58.0, None], ['ESO-LV IIIa-F', (13.58, None), (None, None), None, None, None, None]]"
LEDA1811746,"K_s (2MASS ""total"")","(23.9, 20.08)","('x', 'x')",0.84,x,155.0,x,"[['K_s (2MASS isophotal)', (13.2, 11.09), (None, None), 0.84, None, 155.0, None], ['K_s (2MASS ""total"")', (23.9, 20.08), (None, None), 0.84, None, 155.0, None]]"
LEDA165459,"K_s (2MASS ""total"")","(50.7, 23.32)","('x', 'x')",0.46,x,10.0,x,"[['K_s (2MASS isophotal)', (29.4, 13.52), (None, None), 0.46, None, 10.0, None], ['K_s (2MASS ""total"")', (50.7, 23.32), (None, None), 0.46, None, 10.0, None]]"
LEDA4584411,"K_s (2MASS ""total"")","(14.7, 11.76)","('x', 'x')",0.8,x,40.0,x,"[['K_s (2MASS isophotal)', (14.6, 11.68), (None, None), 0.8, None, 40.0, None], ['K_s (2MASS ""total"")', (14.7, 11.76), (None, None), 0.8, None, 40.0, None]]"
LEDA4584408,"K_s (2MASS ""total"")","(31.3, 21.91)","('x', 'x')",0.7,x,60.0,x,"[['K_s (2MASS isophotal)', (15.6, 10.92), (None, None), 0.7, None, 60.0, None], ['K_s (2MASS ""total"")', (31.3, 21.91), (None, None), 0.7, None, 60.0, None]]"
PGC013393,"K_s (2MASS ""total"")","(58.4, 22.19)","('x', 'x')",0.38,x,110.0,x,"[['K_s (2MASS isophotal)', (33.0, 12.54), (None, None), 0.38, None, 110.0, None], ['K_s (2MASS ""total"")', (58.4, 22.19), (None, None), 0.38, None, 110.0, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 30.0), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (51.88, 103.76), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (64.57, 129.14), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (74.13, 148.26), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (37.15, 74.3), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (44.16, 88.32), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (54.95, 109.9), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (26.92, 53.84), (None, None), 0.5, None, 127.0, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.05, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.28, None), (None, None), None, None, None, None], ['ESO-LV ""Quick Blue"" IIa-O', (10.23, 15.81), (None, None), 0.65, None, 128.0, None], ['ESO-LV IIIa-F', (8.65, None), (None, None), None, None, None, None]]"
LEDA4585311,"K_s (2MASS ""total"")","(35.2, 19.71)","('x', 'x')",0.56,x,175.0,x,"[['K_s (2MASS isophotal)', (19.0, 10.64), (None, None), 0.56, None, 175.0, None], ['K_s (2MASS ""total"")', (35.2, 19.71), (None, None), 0.56, None, 175.0, None]]"
PGC009864,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
[CWF2012]J327.594666-05.74865,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
6dFJ2041595-152748,x,"('x', 'x')","('x', 'x')",x,x,x,x,['x']
PGC060828,"K_s (2MASS ""total"")","(104.1, 54.13)","('x', 'x')",0.52,x,95.0,x,"[['K_s (2MASS isophotal)', (59.2, 30.78), (None, None), 0.52, None, 95.0, None], ['K_s (2MASS ""total"")', (104.1, 54.13), (None, None), 0.52, None, 95.0, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (66.0, 48.0), (None, None), 0.73, None, 91.0, None]]"
