oldName,freqTargeted,diameters,dRatio,pa,completeList
PGC047728,"K_s (2MASS ""total"")","(147.3, 64.81)",0.44,30.0,"[['K_s (2MASS isophotal)', (96.0, 42.24), 0.44, 30.0], ['K_s (2MASS ""total"")', (147.3, 64.81), 0.44, 30.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (132.0, 72.0), 0.55, 37.0], ['RC3 D_25, R_25 (blue)', (106.7, 64.34), 0.6, 37.0], ['RC3 D_0 (blue)', (131.3, None), None, None]]"
PGC044681,RC3 D_0 (blue),"(99.6, None)",x,x,"[['RC3 D_25, R_25 (blue)', (97.3, 54.68), 0.56, None], ['RC3 D_0 (blue)', (99.6, None), None, None]]"
SDSSJ080158.89+212219.1,r (SDSS Isophotal),"(24.48, 14.46)",0.59,105.0,"[['r (SDSS Isophotal)', (24.48, 14.46), 0.59, 105.0], ['r (SDSS Petrosian)', (9.81, None), None, None], ['r (SDSS de Vaucouleurs)', (23.5, 10.32), 0.44, 98.0], ['r (SDSS Exponential)', (6.8, 3.14), 0.46, 98.0]]"
GALEXASCJ012452.49-765405.9,x,"('x', 'x')",x,x,['x']
2MASXiJ0936057-204656,x,"('x', 'x')",x,x,['x']
2MASXiJ1046038-094841,x,"('x', 'x')",x,x,['x']
COSMOS1362316,x,"('x', 'x')",x,x,['x']
PGC067408,"K_s (2MASS ""total"")","(35.9, 14.93)",0.42,45.0,"[['K_s (2MASS isophotal)', (30.0, 12.48), 0.42, 45.0], ['K_s (2MASS ""total"")', (35.9, 14.93), 0.42, 45.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (66.0, 36.0), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (60.95, 111.83), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (81.28, 149.14), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (103.51, 189.93), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (45.71, 83.87), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (56.89, 104.39), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (77.62, 142.42), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (31.62, 58.02), 0.55, 45.0], ['ESO-LV ""Quick Blue"" IIa-O', (22.65, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.91, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.76, 13.77), 0.71, 44.0], ['ESO-LV IIIa-F', (8.72, None), None, None]]"
LEDA087291,x,"('x', 'x')",x,x,['x']
SDSSJ115621.32+312536.9,r (SDSS Isophotal),"(52.35, 19.28)",0.37,15.0,"[['r (SDSS Isophotal)', (52.35, 19.28), 0.37, 15.0], ['r (SDSS Petrosian)', (12.46, None), None, None], ['r (SDSS de Vaucouleurs)', (23.5, 12.08), 0.51, 26.0], ['r (SDSS Exponential)', (7.51, 4.02), 0.54, 26.0]]"
SDSSJ105653.41+653956.0,r (SDSS Isophotal),"(17.9, 10.56)",0.59,85.0,"[['r (SDSS Isophotal)', (17.9, 10.56), 0.59, 85.0], ['r (SDSS Petrosian)', (4.72, None), None, None], ['r (SDSS de Vaucouleurs)', (6.74, 2.99), 0.44, 78.0], ['r (SDSS Exponential)', (2.98, 1.37), 0.46, 77.0], ['r (SDSS Isophotal)', (17.9, 10.56), 0.59, 85.0], ['r (SDSS Petrosian)', (4.72, None), None, None], ['r (SDSS deVaucouleurs)', (6.74, 2.99), 0.44, 78.0], ['r (SDSS Exponential)', (2.98, 1.37), 0.46, 77.0]]"
MCG-03-02-013,"RC3 D_25, R_25 (blue)","(101.9, 16.1)",0.16,81.0,"[['POSS1 103a-O', (36.0, 12.0), 0.33, None], ['POSS1 103a-O', (90.0, 12.0), 0.13, None], ['RC3 D_25, R_25 (blue)', (101.9, 16.1), 0.16, 81.0], ['RC3 D_0 (blue)', (101.9, None), None, None]]"
HIPASSJ1228-38b,"K_s (2MASS ""total"")","(27.3, 16.93)",0.62,55.0,"[['K_s (2MASS isophotal)', (12.8, 7.94), 0.62, 55.0], ['K_s (2MASS ""total"")', (27.3, 16.93), 0.62, 55.0]]"
